id,property,jurisdiction,assessed_value,taxes_owed,taxes_abated,pct_original,percent_abated,group,start_year,jur_buckets
10,Adam's Garden of Eatin,Unincorporated DeKalb,410486,4420,2834,0.39,39,medium,Other,Other
15,Point on Scott,Unincorporated DeKalb,2271000,13406,24896,0.65,65,medium,Other,Other
16,Commercial/eye doctor on Scott Blvd,Unincorporated DeKalb,3530779,38028,24372,0.39,39,medium,Other,Other
45,Atlas @ LaVista Hills Apts,Unincorporated DeKalb,59055000,704484,339195,0.32,32,low,Other,Other
100,ALDI,Unincorporated DeKalb,1500000,16155,10355,0.39,39,medium,Other,Other
119,Various DeKalb locations,Unincorporated DeKalb,27076737,753808,442713,0.17,17,low,Other,Other
40,Primerica,Unincorporated Gwinnett,55728300,312310,468466,0.6,60,medium,Other,Other
24,Walmart.com,Union City,62829730,563897,563897,0.5,50,medium,Other,Other
52,Dendreon Pharmaceuticals,Union City,46634057,634142,215188,0.25,25,low,Other,Other
56,Atlanta Market Place warehouse,Union City,40716800,548151,182717,0.25,25,low,Other,Other
58,Menlo Worldwide Logistics,Union City,22359300,220742,180607,0.45,45,medium,Atlanta,Other
67,Del Monte Foods,Union City,41624700,635092,112075,0.15,15,low,Other,Other
105,American Building Supply Inc,Union City,6723551,84613,36075,0.3,30,low,Atlanta,Other
